1: ['3', '7', '3']
2: ['1', '7', '1']
3: ['5', '1', '4']
4: ['6', '0', '5']
5: ['5', '9', '4']
6: ['5', '1', '5']
7: ['0', '3', '8']
8: ['4', '8', '7']
9: ['8', '1', '2']
10: ['8', '6', '5']
11: ['7', '5', '9']
12: ['3', '1', '4']
13: ['6', '1', '8']
14: ['3', '0', '9']
15: ['8', '1', '7']
16: ['8', '5', '6']
17: ['8', '7', '8']
18: ['7', '6', '5']
19: ['4', '1', '7']
20: ['3', '0', '6']
21: ['0', '7', '0']
22: ['9', '8', '9']
23: ['1', '8', '5']
24: ['4', '1', '4']
25: ['5', '2', '1']
26: ['7', '3', '6']
27: ['7', '7', '0']
28: ['6', '8', '3']
29: ['1', '5', '0']
30: ['9', '7', '0']
31: ['5', '5', '6']
32: ['2', '7', '7']
33: ['3', '9', '5']
34: ['9', '9', '9']
35: ['6', '0', '0']
36: ['1', '5', '2']
37: ['9', '4', '0']
38: ['1', '7', '5']
39: ['5', '1', '7']
40: ['1', '7', '4']
41: ['2', '5', '7']
42: ['4', '3', '5']
43: ['0', '0', '1']
44: ['2', '3', '4']
45: ['7', '6', '5']
46: ['8', '7', '7']
47: ['5', '4', '3']
48: ['0', '2', '4']
49: ['1', '8', '7']
50: ['5', '0', '9']
51: ['5', '7', '9']
52: ['1', '4', '7']
53: ['7', '8', '6']
54: ['0', '7', '2']
55: ['6', '4', '3']
56: ['8', '1', '1']
57: ['0', '3', '3']
58: ['9', '1', '1']
59: ['0', '9', '6']
60: ['5', '1', '1']
61: ['7', '0', '2']
62: ['1', '1', '0']
63: ['7', '2', '2']
64: ['8', '2', '1']
65: ['7', '6', '5']
66: ['4', '4', '2']
67: ['2', '1', '1']
68: ['3', '5', '8']
69: ['7', '6', '7']
70: ['8', '8', '6']
71: ['8', '0', '8']
72: ['9', '0', '9']
73: ['6', '5', '5']
74: ['6', '8', '2']
75: ['1', '6', '8']
76: ['3', '5', '6']
77: ['0', '2', '3']
78: ['9', '2', '0']
79: ['6', '7', '7']
80: ['7', '0', '9']
81: ['4', '5', '3']
82: ['2', '7', '2']
83: ['6', '5', '0']
84: ['3', '1', '9']
85: ['4', '4', '4']
86: ['3', '1', '8']
87: ['9', '3', '9']
88: ['3', '1', '0']
89: ['7', '5', '1']
90: ['9', '1', '9']
91: ['9', '7', '2']
92: ['5', '9', '4']
93: ['9', '3', '7']
94: ['0', '7', '6']
95: ['3', '3', '2']
96: ['8', '3', '4']
97: ['0', '9', '0']
98: ['1', '5', '1']
99: ['9', '1', '9']
100: ['2', '7', '9']
